Id Label Weight
蔡荃 蔡荃 150
言豫津 言豫津 660
聂锋 聂锋 78
宇文念 宇文念 33
莅阳公主 莅阳公主 65
誉王 誉王 888
夏冬 夏冬 549
庭生 庭生 122
甄平 甄平 68
祁王 祁王 97
太皇太后 太皇太后 55
纪王 纪王 102
宫羽 宫羽 213
梅长苏 梅长苏 2960
夏春 夏春 49
列战英 列战英 84
蔺晨 蔺晨 201
言皇后 言皇后 12
梁帝 梁帝 594
静妃 静妃 282
靖王 靖王 1218
萧景宣 萧景宣 3
卫峥 卫峥 233
夏江 夏江 484
秦般若 秦般若 140
蒙挚 蒙挚 735
隽娘 隽娘 27
言阙 言阙 106
飞流 飞流 875
谢玉 谢玉 420
聂铎 聂铎 62
霓凰 霓凰 376
越贵妃 越贵妃 73
高湛 高湛 89
穆青 穆青 92
卓青遥 卓青遥 78
晏大夫 晏大夫 67
